Date/Schedule				May. 18	🏗️ Construction Buff		May. 19	No buff		May. 21	🛡️ Train Troops Buff		May. 22	📚 Research Buff	
Category/Detail				KOR	YURI	NO. ID	KOR	YURI	NO. ID	KOR	YURI	NO. ID	KOR	YURI	NO. ID
UTC TIME SLOTS	KST	-	U.S. West	Alliance	Nick name	615554123	Alliance	Nick name	615554123	Alliance	Nick name	615554123	Alliance	Nick name	615554123
00:00~00:30	09:00~09:30	08:00~08:30	17:00~17:30	KOR	히든	602377655	KOR	히든	602377655	KOR	히든	602377655	KOR	히든	602377655
00:30~01:00	09:30~10:00	08:30~09:00	17:30~18:00	KOR	하쿠나마타타	603278918	KOR	개쩌는재원이	607935557	KOR	하쿠나마타타	603278918	KOR	하쿠나마타타	603278918
01:00~01:30	10:00~10:30	09:00~09:30	18:00~18:30	LOA	Gin	597260049	SEC	Fiona	601754931	KOR	개쩌는재원이	607935557	KOR	돼지국밥	613025735
01:30~02:00	10:30~11:00	09:30~10:00	18:30~19:00	KOR	WONI	580114210	KOR	수구레국밥	601606992	KOR	WONI	580114210	KOR	WONI	580114210
02:00~02:30	11:00~11:30	10:00~10:30	19:00~19:30	KOR	디에고2	704102469	KOR	디에고2	704102469	KOR	디에고	603524172	KOR	디에고2	704102469
02:30~03:00	11:30~12:00	10:30~11:00	19:30~20:00	SEC	Jaelle	637885027	KOR	디에고	603524172	SEC	Fiona	601754931	SEC	chavitos	600296210
03:00~03:30	12:00~12:30	11:00~11:30	20:00~20:30	KOR	GOM	603344738	KOR	GOM	603344738	KOR	GOM	603344738	KOR	GOM	603344738
03:30~04:00	12:30~13:00	11:30~12:00	20:30~21:00	SEC	Puss In Boots	600182054	SEC	chavitos	600296210	SEC	chavitos	600296210	LOA	Amy	602296136
04:00~04:30	13:00~13:30	12:00~12:30	21:00~21:30	SEC	Argos	603622661	LOA	Amy	602296136	LOA	Beta	597702625	LOA	DUCK	659978850
04:30~05:00	13:30~14:00	12:30~13:00	21:30~22:00	DnB	Tinky	601230811	dnb	stefy52	648928153	DnB	Becky	600641511	LOA	597260049	Gin
05:00~05:30	14:00~14:30	13:00~13:30	22:00~22:30	KOR	잠깐동안	603770203	KOR	잠깐동안	603770203	KOR	잠깐동안	603770203	KOR	잠깐동안	603770203
05:30~06:00	14:30~15:00	13:30~14:00	22:30~23:00	KOR	상상초월	602725201	KOR	상상초월	602725201	KOR	수구레국밥	601606992	KOR	상상초월	602725201
06:00~06:30	15:00~15:30	14:00~14:30	23:00~23:30	KOR	수구레국밥	601606992				KOR	상상초월	602725201			
06:30~07:00	15:30~16:00	14:30~15:00	23:30~00:00	LOA	Fabian	601181617	LOA	Fabian	601181617	LOA	Fabian	601181617	LOA	Fabian	601181617
07:00~07:30	16:00~16:30	15:00~15:30	00:00~00:30	DnB	Mileaaaaa	608846434	KOR	돼지국밥	613025735	LOA	Morning	600116520			
07:30~08:00	16:30~17:00	15:30~16:00	00:30~01:00	DnB	Cha Yhank Khu	649124906	LOA	Tokyo	602771114	LOA	안토니	582115948	LOA	Junior Tok	639218926
08:00~08:30	17:00~17:30	16:00~16:30	01:00~01:30	KOR	초마마미	610391358	KOR	초마마미	610391358	KOR	초마마미	610391358	KOR	초마마미	610391358
08:30~09:00	17:30~18:00	16:30~17:00	01:30~02:00	LOA	Amy	602296136	LOA	小稅稅出現啦	662587789	LOA	小稅稅出現啦	662587789	LOA	小稅稅出現啦	662587789
09:00~09:30	18:00~18:30	17:00~17:30	02:00~02:30				DnB	SO WHAT	603098541	DnB	Karel	603688681	DnB	SO WHAT	603098541
09:30~10:00	18:30~19:00	17:30~18:00	02:30~03:00	DnB	Karel	603688681	DnB	Karel	603688681	DnB	SO WHAT	603098541	DnB	Karel	603688681
10:00~10:30	19:00~19:30	18:00~18:30	03:00~03:30	DnB	SO WHAT	603098541	LOA	稅到終無	597325046	KOR	돼지국밥	613025735	LOA	稅到終無	597325046
10:30~11:00	19:30~20:00	18:30~19:00	03:30~04:00	LOA	Morning	600116520	LOA	Morning	600116520	LOA	597260049	Gin	DnB	Rosie	600771671
11:00~11:30	20:00~20:30	19:00~19:30	04:00~04:30	DnB	Luzbelito	599719874	DnB	Rosie	600771671	LOA	稅到終無	597325046	dnb	Nebu Nebu	598571835
11:30~12:00	20:30~21:00	19:30~20:00	04:30~05:00	DnB	Stephanie52	601214290	DnB	Stephanie52	601214290	DnB	Stephanie52	601214290	dnb	punyaStefy	668649856
12:00~12:30	21:00~21:30	20:00~20:30	05:00~05:30	dnb	punyaStefy	668649856	dnb	punyaStefy	668649856	dnb	punyaStefy	668649856	DnB	Stephanie52	601214290
12:30~13:00	21:30~22:00	20:30~21:00	05:30~06:00	dnb	stefy52	648928153	DnB	Becky	600641511	dnb	stefy52	648928153	dnb	stefy52	648928153
13:00~13:30	22:00~22:30	21:00~21:30	06:00~06:30	DnB	Rosie	600771671	DnB	Nebula	587017030	DnB	Nebula	587017030	DnB	Nebula	587017030
13:30~14:00	22:30~23:00	21:30~22:00	06:30~07:00	SEC	Jaws	600559552	DnB	Luzbelito	599719874	DnB	Luzbelito	599719874	DnB	Luzbelito	599719874
14:00~14:30	23:00~23:30	22:00~22:30	07:00~07:30	KOR	혜원	601263877	LOA	Morning	600116520	KOR	혜원	601263877	KOR	혜원	601263877
14:30~15:00	23:30~24:00	22:30~23:00	07:30~08:00	KOR	쏜	601771888	KOR	쏜	601771888	KOR	쏜	601771888	KOR	쏜	601771888
15:00~15:30	00:00~00:30	23:00~23:30	08:00~08:30	KOR	어흥	655940400	KOR	혜원	601263877	DnB	Rosie	600771671	KOR	어흥	655940400
15:30~16:00	00:30~01:00	23:30~00:00	08:30~09:00	DnB	Iceer	596505949	DnB	Iceer	596505949	DnB	Iceer	596505949	DnB	Iceer	596505949
16:00~16:30	01:00~01:30	00:00~00:30	09:00~09:30	LOA	Bugs Bunny	702390012	LOA	Bugs Bunny	702390012	SEC	Argos	603622661	LOA	Bugs Bunny	702390012
16:30~17:00	01:30~02:00	00:30~01:00	09:30~10:00	DnB	Foghorn Leghorn	601984211	DnB	Foghorn Leghorn	601984211	LOA	Bugs Bunny	702390012	DnB	Foghorn Leghorn	601984211
17:00~17:30	02:00~02:30	01:00~01:30	10:00~10:30	dnb	Stok	640526191	dnb	Stok	640526191	DnB	Foghorn Leghorn	601984211	dnb	Stok	640526191
17:30~18:00	02:30~03:00	01:30~02:00	10:30~11:00	dnb	Ichilan 23 Lyte	748567449	DnB	Ichilan 23	599886775	dnb	Stok	640526191	LOA	Tokyo	602771114
18:00~18:30	03:00~03:30	02:00~02:30	11:00~11:30	LOA	Cyclone	596898949	LOA	Cyclone	596898949	LOA	Cyclone	596898949	LOA	Cyclone	596898949
18:30~19:00	03:30~04:00	02:30~03:00	11:30~12:00	LOA	AKB	602689434	LOA	AKB	602689434	LOA	AKB	602689434	LOA	AKB	602689434
19:00~19:30	04:00~04:30	03:00~03:30	12:00~12:30	LOA	Raylin	777167847	LOA	Raylin	777167847	LOA	Raylin	777167847	LOA	Raylin mini	777167847
19:30~20:00	04:30~05:00	03:30~04:00	12:30~13:00	LOA	DOC	601885570	LOA	DOC	601885570	LOA	DOC	601885570	LOA	DOC	601885570
20:00~20:30	05:00~05:30	04:00~04:30	13:00~13:30	DnB	Nebula	587017030	LOA	Raylin mini	777167847	LOA	Raylin mini	777167847			
20:30~21:00	05:30~06:00	04:30~05:00	13:30~14:00	KOR	hirfancan	603840961	KOR	hirfancan	603840961	KOR	hirfancan	603840961	KOR	hirfancan	603840961
21:00~21:30	06:00~06:30	05:00~05:30	14:00~14:30	LOA	DUCK	659978850	LOA	Boris	600591337	LOA	Boris	600591337			
21:30~22:00	06:30~07:00	05:30~06:00	14:30~15:00	SEC	chavitos	600296210	LOA	Junior Tok	639218926	LOA	Tokyo	602771114			
22:00~22:30	07:00~07:30	06:00~06:30	15:00~15:30	dnb	mini sion	600037427	DnB	Sion	600837204	DnB	Sion	600837204	DnB	Sion	600837204
22:30~23:00	07:30~08:00	06:30~07:00	15:30~16:00	KOR	YURI	602966755	LOA	DUCK	659978850	DnB	Ichilan 23	599886775	KOR	YURI	602966755
23:00~23:30	08:00~08:30	07:00~07:30	16:00~16:30	DnB	Arbaz	601575401	DnB	Arbaz	601575401	DnB	Arbaz	601575401	DnB	Arbaz	601575401
23:30~24:00	08:30~09:00	07:30~08:00	16:30~17:00	KOR	차영	604760410	LOA	597260049	Gin	LOA	DUCK	659978850	KOR	차영	604760410
